strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.027,0.027,1.283990673422032,2.2281287513457495,4.231135250813769,0.12044063470670309,2.8918478280442192,1.9541751067301072,1.7118417498833847,1.9975124765860872,3.4461996993042208,1.5928021430652057,2.441860905961891,3.4752617474975818,1.9824325904377527,1.888966678568158,3.810881330951202,2.3583816113841087,2.4073097127035803,3.7513213979607114,1.395626468229704,2.404669941484031,3.8553464752469417,2.159411556255445,2.3837204080241614,3.69749576031349,409.9577994452495,0.027,409.9577994452495
0.028,0.028,1.284276926347129,2.2281924017772097,4.231466417576965,0.12002090070380739,2.8919196289357765,1.9532524222008534,1.7122406052988541,1.9971742873517833,3.4459119353650074,1.5924232852595517,2.4421020373451148,3.475527794110495,1.982584786459229,1.8886083840639771,3.8105748932916765,2.358677488069196,2.4070872704645865,3.7510702334884973,1.3963749580593747,2.405363461638921,3.855833594722893,2.159497515260286,2.383859321441752,3.6969307398384617,412.63413164921275,0.028,412.63413164921275
0.029,0.029,1.284567662393605,2.228239307014275,4.231800116158205,0.1195277822109194,2.891988314978293,1.9522959790614498,1.7126404112164155,1.9968289104702008,3.445612369650038,1.5920283985729953,2.4423427838339813,3.4758074524740072,1.9827426879968515,1.888233231523783,3.810255953503049,2.358962641747856,2.406837532474644,3.750799207856446,1.3971244422081153,2.4060660238130342,3.8563200174557637,2.1595571088605925,2.383993879884251,3.6963287955298987,415.48323852010463,0.029,415.48323852010463
0.03,0.03,1.284854274195061,2.228282759816282,4.232126993249896,0.1190441191780508,2.89205602030505,1.9513480633076186,1.7130361575648605,1.9964914762329686,3.445315344286921,1.5916306954360795,2.442585942059982,3.4760903691023555,1.9828968551690824,1.8878597980593246,3.8099444637353868,2.3592384885076605,2.4065871984432325,3.7505355969151677,1.397853158829812,2.4067587463917492,3.8568060217381395,2.1596081658965103,2.3841208872539092,3.6957349739195084,418.11779701873854,0.03,418.11779701873854
0.031,0.031,1.2851576699998704,2.2283507001020673,4.232468532902138,0.11872905412017477,2.8921341613600116,1.9503993710832142,1.7134322604286711,1.9961648680255593,3.445029201897636,1.5911894326450455,2.442859005625208,3.476369950902153,1.9830612757121877,1.8875029750747836,3.809635582484943,2.359542774842295,2.406364524870875,3.7503082592460033,1.3986118565010766,2.4074807313399647,3.8573465988811546,2.1596853346506495,2.384253226378781,3.6951458110656197,421.30879380715743,0.031,421.30879380715743
0.032,0.032,1.2854667638630097,2.2284535116097657,4.232816106034733,0.11849385840698161,2.8922153694156063,1.9494824228387544,1.71385021046311,1.9958500398798713,3.4447532906806817,1.5907715551756643,2.443125650060674,3.4766600021187144,1.9832385747292123,1.8871613398322968,3.809340576503821,2.3598766396758104,2.406133037516572,3.7500707259667583,1.3994094900167424,2.4082408744650357,3.8578972620187257,2.159804065699056,2.38438014056802,3.694585930285197,424.44857879919317,0.032,424.44857879919317
0.033,0.033,1.2857803682391167,2.2285578683313907,4.233164906579895,0.11816914243992571,2.892296200525088,1.948544413180462,1.714276340604316,1.9955309229455573,3.444473574613164,1.5903455050738975,2.4433938319640673,3.4769526852434236,1.983420523719007,1.8868146410307942,3.8090398422781497,2.3602192328536447,2.4058996312661316,3.7498265028229474,1.400218470863213,2.4090067540414615,3.858454535513448,2.1599269289251564,2.384507317307131,3.6940185472604794,427.7642481676634,0.033,427.7642481676634
0.034,0.034,1.2860389857744556,2.2286263432454105,4.233474445248638,0.11765242019355324,2.892368321235079,1.9475641572087616,1.7146838879230633,1.9952028994568258,3.4441771715552307,1.589885862735833,2.4436527539366386,3.477223792250657,1.9835959866008304,1.8864498926087852,3.80871102197232,2.3605375515599123,2.405669392330646,3.749569072739354,1.4009804283740908,2.4097092883882176,3.8589911246298105,2.160019317365572,2.384633024581378,3.693429304623393,428.9141481293289,0.034,428.9141481293289
0.035,0.035,1.2862892422607217,2.228691731591165,4.233775008896698,0.11715101664200124,2.892439893679224,1.9466107336033536,1.7150773656473979,1.9948818852125443,3.443888433613667,1.5894405342121771,2.443905626998267,3.4774875104107887,1.9837642377555895,1.8860918488086167,3.8083920321158264,2.36085151488087,2.4054477254306175,3.7493214956757472,1.401729629273353,2.410394585261658,3.8595186966090744,2.160113227581343,2.3847556690576854,3.6928550214869316,430.0864847974998,0.035,430.0864847974998
0.036000000000000004,0.036000000000000004,1.2865313275262462,2.228752759911329,4.234067632168053,0.11666446785337439,2.892515919872003,1.9456825814071996,1.7154501467112873,1.9945641963626752,3.443605696821599,1.5890132318122347,2.4441575615082183,3.4777454143335027,1.9839189662426462,1.8857319685398728,3.8080840199371044,2.3611722307827887,2.405239071416747,3.749090602075582,1.4024907586032487,2.411073474709163,3.8600530227584677,2.1602214039863186,2.3848770671141444,3.6922915439334547,431.38737612580803,0.036000000000000004,431.38737612580803
0.037,0.037,1.286772890851409,2.228815721676509,4.234347009580234,0.11614896703504116,2.8925867593006385,1.944791916718624,1.7157973775898723,1.9942546023215721,3.443326429448904,1.58859164560822,2.4444007795692446,3.4779956337839746,1.9840752253947842,1.885383278173664,3.8077900162578597,2.3614864527848103,2.405035313614759,3.748870975676232,1.403222819793094,2.4117327475486405,3.860572390164487,2.160310134114242,2.384991144623084,3.691737299863751,432.70516687752837,0.037,432.70516687752837
0.038,0.038,1.2870258246578752,2.2288977827178016,4.234636512431201,0.11574975630862062,2.8926584938653974,1.9439211619150043,1.7161569963531473,1.9939505220038396,3.4430508317595505,1.5881824251410817,2.4446454402787308,3.478253145230842,1.9842346840925467,1.8850412569778208,3.8075023444700857,2.361804204429877,2.4048418886650396,3.748659978644637,1.4039822767820687,2.4124017611821422,3.8610878316925192,2.160426506827061,2.3851126771935385,3.6911947406489567,434.30497328078883,0.038,434.30497328078883
0.039,0.039,1.2873177176734107,2.2290229138805064,4.234934389215184,0.1154209840713356,2.892727862064506,1.9431003387727817,1.7165577596875694,1.9936399726182608,3.44277195213095,1.5878024833818083,2.444896209064232,3.478518535055349,1.9844067599553652,1.8846964905212171,3.8072241891411616,2.3621302500983234,2.404650070611704,3.748448266660243,1.4047696716065665,2.4131003394538615,3.8616254403714265,2.1605908620404954,2.385236945325758,3.6906840926731888,436.42208266923484,0.039,436.42208266923484
