param_type,param_name,out_u_bound,in_l_bound,out_l_bound,base,in_u_bound
output,g33_phi_2,1,0.5049870873452252,0,10,0.5129110878474193
output,g34_phi_1,1,-0.11185421718162372,0,10,-0.05432957885411861
output,g34_Phi,1,0.2714466138017645,0,10,0.2878912659540259
output,g34_phi_2,1,0.4394274386545274,0,10,0.444294677675202
output,g35_phi_1,1,0.47063096368490615,0,10,0.504389297186281
output,g35_Phi,1,0.4523998459114416,0,10,0.45421963566000145
output,g35_phi_2,1,0.7622808409501796,0,10,0.7775863002599734
output,g36_phi_1,1,0.2885175017970741,0,10,0.3075174312031314
output,g36_Phi,1,0.24417812502254407,0,10,0.2580623120109196
output,g36_phi_2,1,0.5404045624460594,0,10,0.5449976797003975
output,g37_phi_1,1,-0.03006250203415703,0,10,0.015946243657566233
output,g37_Phi,1,0.43063933616465505,0,10,0.4352230462110289
output,g37_phi_2,1,0.4592114940154554,0,10,0.46572479806532624
output,g38_phi_1,1,0.24077382528419278,0,10,0.26347036606118457
output,g38_Phi,1,0.41108071181163497,0,10,0.41365175206369936
output,g38_phi_2,1,0.6008531488712422,0,10,0.6048953445066851
output,g39_phi_1,1,-0.22273996711462585,0,10,-0.16289157083904596
output,g39_Phi,1,0.27002632231229345,0,10,0.2783419690609072
output,g39_phi_2,1,0.4404997712534111,0,10,0.447499128735851
output,g40_phi_1,1,0.015233976246708407,0,10,0.04991543567349786
output,g40_Phi,1,0.3835820046064843,0,10,0.3886339693517892
output,g40_phi_2,1,0.48400071392719823,0,10,0.4983105537896005
output,g41_phi_1,1,0.27267687772828786,0,10,0.2847013785241777
output,g41_Phi,1,0.2812152326113162,0,10,0.2885398506704563
output,g41_phi_2,1,0.650725100005712,0,10,0.6526234041019371
output,g42_phi_1,1,0.21835166574513318,0,10,0.24420287608298466
output,g42_Phi,1,0.21816774842042547,0,10,0.2315715255284156
output,g42_phi_2,1,0.588484599044793,0,10,0.5913540402140882
output,g43_phi_1,1,-0.3003703692406663,0,10,-0.24364539971019802
output,g43_Phi,1,0.3371796254098343,0,10,0.34260031041577194
output,g43_phi_2,1,0.5734402252322721,0,10,0.5840144357979359
output,g44_phi_1,1,0.07674964062400015,0,10,0.11471104055836234
output,g44_Phi,1,0.3826832904336428,0,10,0.39835673137975397
output,g44_phi_2,1,0.5783182405850075,0,10,0.5858779029982781
output,g45_phi_1,1,-0.009235052971299368,0,10,0.025715383901340642
output,g45_Phi,1,0.3127695570522996,0,10,0.3281552619699468
output,g45_phi_2,1,0.5053806360003941,0,10,0.5160459385202877
output,g46_phi_1,1,0.4048508144913169,0,10,0.4129474905873636
output,g46_Phi,1,0.3606123449085923,0,10,0.3678775066378806
output,g46_phi_2,1,0.631717653451492,0,10,0.6366683969603244
output,g47_phi_1,1,0.30888441442201653,0,10,0.32192966852651744
output,g47_Phi,1,0.33108296396102876,0,10,0.34301449715076754
output,g47_phi_2,1,0.6694470564025429,0,10,0.6739419986340877
output,g48_phi_1,1,0.16163748070459033,0,10,0.17779613329221503
output,g48_Phi,1,0.21782598089985225,0,10,0.22899031084072377
output,g48_phi_2,1,0.591776711276067,0,10,0.594613509160098
output,g49_phi_1,1,0.27133037106615887,0,10,0.2809878890046467
output,g49_Phi,1,0.28187385687012284,0,10,0.29587484521737917
output,g49_phi_2,1,0.6504920833547156,0,10,0.6525074195512992
output,g50_phi_1,1,0.15533603746506178,0,10,0.18418019534725874
output,g50_Phi,1,0.33551807589423344,0,10,0.34034494952814426
output,g50_phi_2,1,0.5116160205691377,0,10,0.5154631883732687
output,g51_phi_1,1,-0.09329332668383304,0,10,-0.07940713791519151
output,g51_Phi,1,0.31685062992605034,0,10,0.34151365987025106
output,g51_phi_2,1,0.4910954317405785,0,10,0.504158112255195
output,g53_phi_1,1,0.3795955549810985,0,10,0.3863740990854829
output,g53_Phi,1,0.3744550524099625,0,10,0.38506977633193473
output,g53_phi_2,1,0.6319102834584124,0,10,0.6410376136606543
output,g54_phi_1,1,0.2892544080541807,0,10,0.29920211760342186
output,g54_Phi,1,0.4067615290465425,0,10,0.4153907381825737
output,g54_phi_2,1,0.6854461386877339,0,10,0.6928293004824486
output,g56_phi_1,1,0.28298444013395474,0,10,0.299942900022767
output,g56_Phi,1,0.41370201278111335,0,10,0.4170064251187987
output,g56_phi_2,1,0.6809244488059922,0,10,0.6894154213820135
output,g57_phi_1,1,0.40305185258813375,0,10,0.41348417431740686
output,g57_Phi,1,0.36034723097576526,0,10,0.36992054992191653
output,g57_phi_2,1,0.6308141947282128,0,10,0.636287252098513
output,g58_phi_1,1,0.1074813189112433,0,10,0.12345961944333804
output,g58_Phi,1,0.3949067510540258,0,10,0.4008141922675589
output,g58_phi_2,1,0.5915987946484648,0,10,0.5979144712025283
output,g59_phi_1,1,0.2211533219547051,0,10,0.2494429614425822
output,g59_Phi,1,0.34789569349323163,0,10,0.3591142204149062
output,g59_phi_2,1,0.6324066721622993,0,10,0.6393569784858641
output,g60_phi_1,1,0.3079023303260236,0,10,0.3933996952931018
output,g60_Phi,1,0.4797048450592816,0,10,0.48630293483116044
output,g60_phi_2,1,0.5997630243451988,0,10,0.6404317436833485
output,g61_phi_1,1,-0.30146450743799885,0,10,-0.22049008770021278
output,g61_Phi,1,0.3810067192965791,0,10,0.3927321173811297
output,g61_phi_2,1,0.39317142883688994,0,10,0.4144217779425607
