grain_id,phi_1,Phi,phi_2,volume
205,2.1831,2.5138,3.5317,2427500.0
206,1.0566,1.9396,4.3151,435350.0
207,2.3022,2.4199,4.3846,367140.0
208,1.4407,1.7259,4.1801,10112000.0
209,5.9397,2.6307,1.6825,923670.0
210,1.3622,2.6657,3.8005,915850.0
211,1.0791,2.6841,4.0307,4798800.0
212,0.60827,2.1064,3.1208,679770.0
213,5.1299,2.85,1.4444,4615900.0
214,0.79276,2.1019,2.8527,1116100.0
215,1.4765,1.9761,3.22,409080.0
216,1.6329,2.9879,4.4177,768850.0
217,0.65201,2.1236,3.1072,1973300.0
218,2.4957,2.3919,4.7569,1610000.0
219,2.9501,2.6386,4.6481,1328600.0
220,2.0721,2.5167,4.415,3376500.0
221,2.4195,2.2231,4.3686,10271000.0
222,1.4543,2.0946,4.4789,684520.0
223,1.451,2.7909,3.698,353500.0
224,2.0846,2.0655,3.3589,492070.0
225,1.8497,1.9892,3.3973,1528400.0
226,0.55796,2.3646,3.1538,670560.0
227,0.64404,2.1919,3.6525,729770.0
228,1.6623,1.6771,3.8679,802300.0
229,3.5759,2.868,0.31037,1901000.0
230,2.455,2.4753,4.5619,1866400.0
231,1.7725,1.9814,3.4148,2761400.0
232,0.89027,2.435,3.0851,880940.0
233,3.6724,2.8728,0.39941,1284400.0
234,1.1824,1.6719,4.2208,1107800.0
235,5.9043,2.6603,1.6163,7149900.0
236,2.4094,2.334,4.7069,1465700.0
237,0.18216,2.3179,3.1375,672140.0
238,0.84159,2.3659,3.0667,1686300.0
239,1.5707,1.605,4.0187,417600.0
240,1.6825,1.5978,4.0496,2560900.0
241,1.2522,2.5575,3.222,6515800.0
242,4.9881,2.7302,0.91037,767090.0
243,1.4919,1.8836,3.1543,2022400.0
244,1.2582,1.7168,3.8091,477320.0
245,0.8954,2.6004,3.6469,1265300.0
246,1.0313,1.9566,3.4713,1891500.0
247,0.7973,2.4089,3.0068,1499400.0
248,1.8733,2.1705,3.5763,585730.0
249,2.1388,2.2923,4.7353,1033500.0
250,1.3519,2.6374,4.3078,570360.0
251,1.2946,1.5992,3.8661,2286800.0
252,0.40689,2.0482,3.2583,2484100.0
253,1.8454,2.5016,3.6269,437190.0
254,1.7635,1.9705,3.3734,2267200.0
255,2.3819,2.0871,4.204,1130300.0
256,0.68869,1.9948,2.7765,1422000.0
257,4.7251,2.7464,0.59913,548510.0
258,1.5869,2.7623,3.6872,621450.0
259,4.3858,2.6572,0.46146,583950.0
260,2.4474,2.3039,4.6689,3201900.0
261,1.8488,2.7387,4.0735,603160.0
262,1.4105,2.1045,4.5233,705010.0
263,1.5977,2.5055,3.9831,716240.0
264,1.9906,2.5513,4.0941,1998600.0
265,4.4634,2.8108,0.37256,1375400.0
267,2.2759,2.078,4.9649,1016900.0
268,1.4107,2.6832,4.2606,1474900.0
269,1.4235,2.5489,3.1382,538720.0
270,0.11531,2.5964,3.163,1596800.0
271,1.693,2.6222,4.105,880230.0
272,3.9568,2.7764,0.26308,979830.0
273,1.5736,1.7317,3.3266,953850.0
274,2.2752,2.1233,5.0022,2486100.0
275,3.8857,2.7587,0.18714,691690.0
276,0.17273,2.2897,3.1832,6475600.0
277,0.087525,2.6373,3.1879,3392500.0
278,2.2509,2.1198,4.9865,2712100.0
279,1.8613,2.5274,3.6957,365440.0
280,0.78626,2.6778,3.4568,832180.0
281,5.0064,2.7854,0.90724,1575900.0
282,0.80545,1.9167,4.1266,1937100.0
283,0.7929,2.6727,3.4915,5892900.0
284,1.3921,2.5485,3.0336,6389300.0
285,0.19414,2.5889,3.2334,4068100.0
286,0.64421,2.3913,2.9883,5419700.0
287,1.4569,2.0354,4.48,9339200.0
288,0.82492,2.6736,3.4421,327270.0
289,1.9855,1.6797,3.8031,421790.0
290,2.0509,2.3619,3.5351,826690.0
291,2.8075,2.8023,4.5262,544030.0
293,1.9952,2.4965,4.3458,579070.0
294,1.4544,2.8866,3.4022,1534100.0
295,0.67656,2.3786,3.0381,8639200.0
296,0.6533,2.3657,3.0252,1365300.0
297,0.91778,2.4375,3.1079,1155600.0
298,2.4287,2.2989,4.623,417230.0
299,3.4282,2.8366,0.099165,2574900.0
300,1.7381,2.4372,4.2693,1450100.0
301,0.7508,2.3899,3.0187,5493700.0
302,1.398,1.7659,4.2408,2606400.0
303,0.27126,2.6236,3.3095,1148400.0
304,1.5241,1.5937,3.3458,6127700.0
305,1.5166,1.5744,3.3347,2589100.0
306,0.68154,2.3576,3.0512,955100.0
307,0.94841,2.3772,3.4658,2762900.0
308,0.33771,2.3665,3.3322,2656600.0
309,1.6466,1.6925,3.4654,934150.0
310,1.0493,1.6273,3.8659,1961600.0
311,1.8836,2.5962,3.9837,864000.0
312,2.1128,2.218,4.6844,2485400.0
313,2.04,2.529,4.3692,429470.0
314,2.1626,2.6111,4.5683,1496400.0
315,1.156,2.1339,3.021,6028100.0
316,5.8553,2.8862,1.3877,698680.0
317,1.5827,1.6366,3.4577,686840.0
318,1.9017,1.8397,3.7977,341430.0
319,1.9354,1.9148,3.9137,712550.0
320,1.0123,2.493,3.0137,408190.0
321,0.81949,2.2437,3.1465,665340.0
322,0.3207,2.6127,3.3488,468410.0
323,2.2067,2.7708,4.8158,2337700.0
324,0.38378,2.6137,3.3862,546740.0
325,1.3666,1.6445,3.7066,755500.0
326,1.4774,2.6021,4.0115,1295100.0
327,2.576,2.3885,4.7037,469680.0
328,1.9187,1.801,3.8061,7688600.0
329,0.90198,3.0771,2.7441,1141500.0
330,2.2432,2.0895,4.9658,5784900.0
331,2.0306,1.8014,3.8627,2183900.0
332,1.4079,2.6636,3.0429,6631100.0
333,1.5983,2.5711,3.9929,500920.0
334,4.8546,2.8138,0.584,2181500.0
335,0.97031,2.6005,2.8803,467830.0
336,0.75965,2.7048,3.4289,3607100.0
337,1.3758,2.6603,4.3014,3196700.0
338,1.1282,2.8694,2.7392,997060.0
339,1.5794,2.1722,4.3804,1232600.0
340,0.84598,2.5493,2.8504,1133100.0
341,0.67053,2.04,2.8791,2577300.0
342,2.164,2.6282,4.5915,826760.0
343,2.3634,2.227,4.7889,463970.0
344,0.46545,2.4447,3.2797,2696900.0
345,1.4738,2.7063,4.3434,1492900.0
346,0.52475,2.0671,2.8604,2838000.0
347,2.091,1.7681,3.7789,458630.0
348,1.2162,1.6543,3.7411,4291300.0
349,2.0353,1.7728,3.7861,6376700.0
350,2.1514,2.5788,4.5626,1709300.0
351,2.1729,2.5915,4.2046,790070.0
352,1.2949,1.6146,4.0808,2183300.0
353,2.1841,2.5658,4.6297,720720.0
354,0.67704,2.3812,2.8351,6306700.0
355,1.3286,2.1229,3.1278,9434700.0
356,2.1242,2.5885,5.0227,320440.0
357,0.58213,2.0582,2.9649,2034300.0
358,2.2475,2.5844,4.2561,864670.0
359,2.3355,2.6749,4.6872,388730.0
360,0.56388,2.0582,2.8848,2077400.0
361,2.4198,2.1388,4.7483,633670.0
362,1.7353,2.4403,4.2452,2203200.0
363,1.5609,1.6181,3.4221,731000.0
364,0.77764,2.6005,2.7497,894690.0
365,0.38688,3.0496,2.2174,5884800.0
366,0.90779,2.5943,2.8594,415690.0
367,1.9405,1.9026,3.4765,346110.0
368,1.4875,2.0922,4.2222,340790.0
369,3.2604,2.7384,6.2798,1280700.0
370,0.39049,2.8659,3.1231,3928700.0
371,2.1045,2.2845,3.3673,933050.0
372,1.2401,2.4072,3.4264,2331000.0
373,1.1031,3.0295,3.9975,1106800.0
374,1.943,1.7959,3.7678,485070.0
375,1.4555,2.9184,4.3135,1378100.0
376,4.7905,2.8396,0.52443,5777200.0
377,1.1864,2.6552,4.2044,411250.0
378,0.82697,2.4199,3.3382,474120.0
379,2.0262,1.801,3.6163,324440.0
380,2.276,2.1994,3.6491,2248800.0
381,2.4491,2.375,4.6151,7237400.0
382,1.1525,1.6316,3.7519,1501200.0
383,2.4855,2.6898,4.1155,2485200.0
385,1.3611,2.6703,4.4361,1194300.0
386,1.2803,2.652,3.7849,3063500.0
387,1.6027,2.5616,3.5393,1544000.0
388,1.5689,1.6865,4.2717,508830.0
389,1.9165,1.7984,3.7793,4677700.0
390,2.29,2.4002,4.8074,1158100.0
391,2.1821,2.3263,4.1886,2863000.0
392,2.0973,2.3781,3.4801,1399400.0
393,0.68093,1.9894,3.2067,2028700.0
394,2.0803,2.3938,3.488,2450300.0
395,1.9066,1.7513,3.7895,7807500.0
396,2.2762,2.0303,5.0143,2788900.0
397,0.77462,2.0926,4.1835,5027000.0
398,0.72864,2.235,2.9222,513570.0
399,0.8207,2.0543,2.6968,422740.0
400,2.5816,2.2738,4.7755,6794600.0
401,2.2929,2.2524,3.7024,3932500.0
402,1.3174,1.6213,3.8347,1143700.0
403,2.0587,2.692,4.0941,511370.0
404,2.1595,2.5933,4.6067,22876000.0
405,2.1532,2.547,4.588,591060.0
406,1.9207,1.7789,3.771,3608700.0
407,1.5799,1.6977,4.2037,4653100.0
408,0.8778,2.1126,3.1134,1103800.0
409,1.8615,1.7624,3.5199,2354600.0
410,1.3692,2.4343,3.2359,3940800.0
411,6.1278,2.9066,2.4988,2352800.0
412,2.1717,2.5851,4.6318,6706600.0
413,1.7777,2.8443,4.034,2329900.0
414,0.97793,1.9185,4.2268,428550.0
415,2.8229,2.5566,5.2246,1172200.0
416,1.9143,2.1064,3.975,632290.0
417,1.2237,2.4703,3.045,413180.0
418,2.0861,2.7595,3.8505,662040.0
419,0.86323,2.6318,3.4393,1375400.0
420,2.1819,1.9828,4.9592,3076700.0
421,1.2211,2.5907,4.2558,2684700.0
422,2.0444,2.2065,4.8938,1092500.0
423,1.5867,1.6545,3.945,3410000.0
425,5.7802,2.8063,1.4133,308510.0
426,1.7358,2.0471,3.2903,1824300.0
427,1.1952,2.6544,3.6419,4112300.0
428,1.3878,2.5049,3.8359,3430500.0
429,2.6062,2.545,4.4807,1204900.0
430,0.72393,1.9759,2.7356,764770.0
431,1.1195,1.5862,3.6217,1392300.0
432,1.8069,1.6088,4.0721,6352400.0
433,2.0162,2.4183,4.2766,340980.0
434,0.98051,2.8037,3.7779,822910.0
435,0.76051,2.0336,2.7686,1092800.0
436,1.1549,2.6746,3.6079,6750900.0
437,2.3408,2.0032,5.1806,569870.0
438,1.5768,2.396,4.4473,780780.0
440,0.99086,2.4691,2.9028,1921200.0
441,2.0227,2.1894,4.5197,4216600.0
442,0.87779,2.0215,2.837,4548800.0
443,2.2792,2.7394,4.0666,558140.0
444,2.5852,2.6137,4.5199,761100.0
445,0.47629,2.6571,3.2349,3192300.0
446,0.94711,2.3,3.1245,1158100.0
447,1.7055,2.4176,4.5861,987470.0
448,0.98077,1.8905,4.2553,5304100.0
449,0.78838,2.1202,3.0076,387470.0
450,1.6138,1.6851,3.9617,295030.0
451,1.5854,1.5808,3.9652,7344400.0
452,1.012,2.1679,3.1635,785090.0
453,2.0667,2.5186,4.7503,2739100.0
454,1.5471,1.7496,3.9585,415700.0
455,1.2928,1.5429,3.8619,6697100.0
456,0.97378,2.4132,2.9218,1993300.0
457,1.602,2.905,4.5973,1013000.0
458,2.0025,2.0168,4.5974,769890.0
459,1.1423,2.6496,3.6187,2172200.0
460,1.0646,2.2605,3.5143,2791000.0
461,2.2531,2.7241,4.0157,579670.0
462,2.1789,2.5224,4.8299,1468400.0
463,2.0984,2.1282,4.8428,430990.0
464,1.4891,3.0013,3.1116,507750.0
465,1.839,1.6702,3.51,1560900.0
466,1.6637,2.5107,4.0148,1274600.0
467,0.33977,2.3095,3.4634,1070300.0
468,1.0026,1.8879,4.3208,1395300.0
469,2.0187,2.0972,4.5974,877210.0
470,0.74528,1.9726,2.7382,509430.0
472,1.5192,2.9404,3.7446,1477900.0
473,0.98886,2.3977,3.4831,1036400.0
474,0.6643,2.9592,3.6739,1700200.0
475,5.3213,2.8986,1.0486,506970.0
476,2.0382,2.0403,4.8635,637540.0
477,1.4582,1.5176,4.1569,3277000.0
478,2.2464,2.7133,4.0577,806060.0
479,0.73594,1.98,2.7447,9292300.0
480,2.0459,2.4224,3.5423,3570200.0
481,2.2345,1.9275,5.0002,669730.0
482,1.6002,1.5898,4.19,2320500.0
483,0.75449,2.2044,4.0064,11714000.0
484,2.547,2.5801,4.4527,2853200.0
486,0.39058,2.3284,3.4555,1036500.0
489,2.1386,2.053,3.4219,3593700.0
490,1.5592,2.7211,3.76,1990300.0
491,2.1021,2.059,3.4067,388220.0
493,0.99991,2.3883,3.4664,4162000.0
494,2.6317,2.1257,4.6843,2872500.0
495,1.4404,1.8085,4.3493,414820.0
496,1.5737,2.5503,3.6944,1220300.0
498,1.6129,2.4866,3.7526,506790.0
501,1.5679,1.5723,4.0039,1362900.0
502,2.054,2.4272,4.1796,1187200.0
505,2.5528,2.3299,4.8324,3866300.0
507,0.58023,2.4972,3.1343,2063500.0
509,2.4046,2.1555,5.0377,491410.0
